108xiong	PT
AL109	ALS
AL111	ALS
AL113	ALS
AL114	ALS
AL115	ALS
AL116	ALS
AL117	ALS
AL118	ALS
AL119	ALS
AL120	ALS
B11ci	BY
B26ci	BY
B29xiong	BY
B2ci	BY
B4ci	BY
B4xiong	BY
B7xiong	BY
B8xiong	BY
B9xiong	BY
BA42	BAY
BA49	BAY
BA60	BAY
BSB123	BSB
BSB126	BSB
BSB128	BSB
BSB129	BSB
BSB130	BSB
BSB136	BSB
BSB137	BSB
BSB139	BSB
BSB140	BSB
BSB141	BSB
CD10B	CHU
CD11B	CHU
CD12B	CHU
CD13B	CHU
CD14B	CHU
CD15B	CHU
CD16B	CHU
CD17B	CHU
CD18B	CHU
CD19B	CHU
CD1B	CHU
CD20B	CHU
CD21B	CHU
CD22B	CHU
CD23B	CHU
CD24B	CHU
CD25B	CHU
CD26B	CHU
CD27B	CHU
CD28B	CHU
CD29B	CHU
CD2B	CHU
CD30B	CHU
CD31B	CHU
CD32B	CHU
CD33B	CHU
CD34B	CHU
CD35B	CHU
CD36B	CHU
CD37B	CHU
CD38B	CHU
CD39B	CHU
CD3B	CHU
CD40B	CHU
CD41B	CHU
CD42B	CHU
CD43B	CHU
CD44B	CHU
CD45B	CHU
CD46B	CHU
CD4B	CHU
CD5B	CHU
CD6B	CHU
CD7B	CHU
CD8B	CHU
CD9B	CHU
CLS222	CLS
CLS226	CLS
CLS227	CLS
CLS228	CLS
CLS233	CLS
CLS234	CLS
CLS235	CLS
CLSA	CLS
CLSB	CLS
CLSD	CLS
D11B	DLHU
D141010001	STH
D141010002	STH
D141010003	STH
D141010004	STH
D141010005	STH
D141010006	STH
D141010010	STH
D141010046	OL
D141215001	TAN
D1412150015	TAN
D141215002	TAN
D141215003	TAN
D14B	DLHU
D1B	DLHU
D5B	DLHU
D7B	DLHU
D8B	DLHU
D9B	DLHU
DLS249	DLS
DLS305	DLS
DLS309	DLS
DLS311	DLS
DLS313	DLS
DLS317	DLS
DLS325	DLS
DLS333	DLS
DLS334	DLS
DLS348	DLS
DM16B	DLHU
DM18C	DLHU
DM19C	DLHU
DM20B	DLHU
